Code,Municipality,County
1301,Aberdeen Twp. ,Monmouth
0101,Absecon City ,Atlantic
1001,Alexandria Twp. ,Hunterdon
2101,Allamuchy Twp. ,Warren
0201,Allendale Bor. ,Bergen
1302,Allenhurst Bor. ,Monmouth
1303,Allentown Bor. ,Monmouth
1701,Alloway Twp. ,Salem
2102,Alpha Bor. ,Warren
0202,Alpine Bor. ,Bergen
1901,Andover Bor. ,Sussex
1902,Andover Twp. ,Sussex
1304,Asbury Park City ,Monmouth
0102,Atlantic City ,Atlantic
1305,Atlantic Highlands Bor. ,Monmouth
0401,Audubon Bor. ,Camden
0402,Audubon Park Bor. ,Camden
0501,Avalon Bor. ,Cape May
1306,Avon-by-the-Sea Bor. ,Monmouth
1502,Barnegat Light Bor. ,Ocean
1501,Barnegat Twp. ,Ocean
0403,Barrington Bor. ,Camden
0301,Bass River Twp. ,Burlington
1503,Bay Head Bor. ,Ocean
0901,Bayonne City ,Hudson
1504,Beach Haven Bor. ,Ocean
1505,Beachwood Bor. ,Ocean
1801,Bedminster Twp. ,Somerset
0701,Belleville Twp. ,Essex
0404,Bellmawr Bor. ,Camden
1307,Belmar Bor. ,Monmouth
2103,Belvidere Town ,Warren
0203,Bergenfield Bor. ,Bergen
2001,Berkeley Heights Twp. ,Union
1506,Berkeley Twp. ,Ocean
0405,Berlin Bor. ,Camden
0406,Berlin Twp. ,Camden
1802,Bernards Twp. ,Somerset
1803,Bernardsville Bor. ,Somerset
1002,Bethlehem Twp. ,Hunterdon
0302,Beverly City ,Burlington
2104,Blairstown Twp. ,Warren
0702,Bloomfield Twp. ,Essex
1601,Bloomingdale Bor. ,Passaic
1003,Bloomsbury Bor. ,Hunterdon
0204,Bogota Bor. ,Bergen
1401,Boonton Town ,Morris
1402,Boonton Twp. ,Morris
0303,Bordentown City,Burlington
0304,Bordentown Twp. ,Burlington
1804,Bound Brook Bor. ,Somerset
1308,Bradley Beach Bor. ,Monmouth
1805,Branchburg Twp. ,Somerset
1903,Branchville Bor. ,Sussex
1507,Brick Twp. ,Ocean
0601,Bridgeton City ,Cumberland
1806,Bridgewater Twp. ,Somerset
1309,Brielle Bor. ,Monmouth
0103,Brigantine City ,Atlantic
0407,Brooklawn Bor. ,Camden
0104,Buena Bor. ,Atlantic
0105,Buena Vista Twp. ,Atlantic
0305,Burlington City ,Burlington
0306,Burlington Twp. ,Burlington
1403,Butler Bor. ,Morris
1904,Byram Twp. ,Sussex
0703,Caldwell Bor. Twp. ,Essex
1004,Califon Bor. ,Hunterdon
0408,Camden City ,Camden
0502,Cape May City ,Cape May
0503,Cape May Point Bor.,Cape May
0205,Carlstadt Bor. ,Bergen
1702,Carneys Point Twp. ,Salem
1201,Carteret Bor. ,Middlesex
0704,Cedar Grove Twp. ,Essex
1404,Chatham Bor. ,Morris
1405,Chatham Twp. ,Morris
0409,Cherry Hill Twp. ,Camden
0410,Chesilhurst Bor. ,Camden
1406,Chester Bor. ,Morris
1407,Chester Twp.,Morris
0307,Chesterfield Twp. ,Burlington
0308,Cinnaminson Twp. ,Burlington
2002,Clark Twp. ,Union
0801,Clayton Bor. ,Gloucester
0411,Clementon Bor. ,Camden
0206,Cliffside Park Bor. ,Bergen
1602,Clifton City ,Passaic
1005,Clinton Town ,Hunterdon
1006,Clinton Twp. ,Hunterdon
0207,Closter Bor. ,Bergen
0412,Collingswood Bor. ,Camden
1310,Colts Neck Twp. ,Monmouth
0602,Commercial Twp. ,Cumberland
0106,Corbin City ,Atlantic
1202,Cranbury Twp. ,Middlesex
2003,Cranford Twp. ,Union
0208,Cresskill Bor. ,Bergen
1311,Deal Bor. ,Monmouth
0603,Deerfield Twp. ,Cumberland
0309,Delanco Twp. ,Burlington
1007,Delaware Twp. ,Hunterdon
0310,Delran Twp. ,Burlington
0209,Demarest Bor. ,Bergen
0504,Dennis Twp. ,Cape May
1408,Denville Twp. ,Morris
0802,Deptford Twp. ,Gloucester
1409,Dover Town ,Morris
0604,Downe Twp. ,Cumberland
0210,Dumont Bor. ,Bergen
1203,Dunellen Bor. ,Middlesex
1509,Eagleswood Twp. ,Ocean
1008,East Amwell Twp. ,Hunterdon
1204,East Brunswick Twp. ,Middlesex
0803,East Greenwich Twp. ,Gloucester
1410,East Hanover Twp. ,Morris
0902,East Newark Bor. ,Hudson
0705,East Orange City ,Essex
0212,East Rutherford Bor. ,Bergen
1101,East Windsor Twp. ,Mercer
0311,Eastampton Twp. ,Burlington
1312,Eatontown Bor. ,Monmouth
0213,Edgewater Bor. ,Bergen
0312,Edgewater Park Twp. ,Burlington
1205,Edison Twp. ,Middlesex
0107,Egg Harbor City ,Atlantic
0108,Egg Harbor Twp. ,Atlantic
2004,Elizabeth City ,Union
0804,Elk Twp. ,Gloucester
1703,Elmer Bor. ,Salem
0211,Elmwood Park Bor. ,Bergen
1704,Elsinboro Twp. ,Salem
0214,Emerson Bor. ,Bergen
0215,Englewood City ,Bergen
0216,Englewood Cliffs Bor. ,Bergen
1313,Englishtown Bor. ,Monmouth
0706,Essex Fells Twp. ,Essex
0109,Estell Manor City ,Atlantic
0313,Evesham Twp. ,Burlington
1102,Ewing Twp.,Mercer
1314,Fair Haven Bor. ,Monmouth
0217,Fair Lawn Bor. ,Bergen
0605,Fairfield Twp. ,Cumberland
0707,Fairfield Twp. ,Essex
0218,Fairview Bor. ,Bergen
2005,Fanwood Bor. ,Union
1807,Far Hills Bor. ,Somerset
1315,Farmingdale Bor. ,Monmouth
0314,Fieldsboro Bor. ,Burlington
1009,Flemington Bor. ,Hunterdon
0315,Florence Twp. ,Burlington
1411,Florham Park Bor. ,Morris
0110,Folsom Bor. ,Atlantic
0219,Fort Lee Bor. ,Bergen
1905,Frankford Twp. ,Sussex
1906,Franklin Bor. ,Sussex
0220,Franklin Lakes Bor. ,Bergen
0805,Franklin Twp. ,Gloucester
1010,Franklin Twp. ,Hunterdon
1808,Franklin Twp. ,Somerset
2105,Franklin Twp. ,Warren
1907,Fredon Twp. ,Sussex
1316,Freehold Bor. ,Monmouth
1317,Freehold Twp. ,Monmouth
2106,Frelinghuysen Twp. ,Warren
1011,Frenchtown Bor. ,Hunterdon
0111,Galloway Twp. ,Atlantic
0221,Garfield City ,Bergen
2006,Garwood Bor. ,Union
0413,Gibbsboro Bor. ,Camden
