County,	Town,	General_Rate,	Effective_Rate
Atlantic,	Absecon,	3.302,	3.137
Atlantic,	Atlantic City,	3.934,	3.61
Atlantic,	Brigantine,	1.688,	1.647
Atlantic,	Buena,	3.16,	3.453
Atlantic,	Buena	Vista,	2.607,	2.823
Atlantic,	Corbin City,	1.9,	1.882
Atlantic,	Egg	Harbor City,	5.281,	4.867
Atlantic,	Egg	Harbor Township,	3.301,	3.072
Atlantic,	Estell Manor,	2.586,	2.391
Atlantic,	Folsom,	2.087,	2.068
Atlantic,	Galloway,	3.097,	2.928
Atlantic,	Hamilton,	3.219,	2.918
Atlantic,	Hammonton,	2.719,	2.539
Atlantic,	Linwood,	3.556,	3.632
Atlantic,	Longport,	0.986,	0.914
Atlantic,	Margate	City,	1.548,	1.35
Atlantic,	Mullica,	3.191,	3.05
Atlantic,	Northfield,	3.468,	3.414
Atlantic,	Pleasantville,	4.773,	4.855
Atlantic,	Port Republic,	2.774,	2.442
Atlantic,	Somers Point,	3.224,	3.198
Atlantic,	Ventnor,	2.591,	2.467
Atlantic,	Weymouth,	2.572,	2.29
Bergen,	Allendale,	2.413,	2.275
Bergen,	Alpine,	0.759,	0.773
Bergen,	Bergenfield,	3.3,	2.764
Bergen,	Bogota,	4.073,	3.193
Bergen,	Carlstadt,	1.775,	1.83
Bergen,	Cliffside	Park,	2.488,	2.042
Bergen,	Closter,	2.241,	2.218
Bergen,	Cresskill,	2.432,	2.33
Bergen,	Demarest,	2.704,	2.208
Bergen,	Dumont,	3.759,	2.957
Bergen,	Elmwood	Park,	3.002,	2.666
Bergen,	East Rutherford,	1.819,	1.752
Bergen,	Edgewater,	1.945,	1.413
Bergen,	Emerson,	2.911,	2.627
Bergen,	Englewood,	2.815,	2.422
Bergen,	Englewood	Cliffs,	1.151,	1.029
Bergen,	Fairlawn,	3.43,	2.768
Bergen,	Fairview,	2.587,	2.548
Bergen,	Fort Lee,	2.409,	2.17
Bergen,	Franklin Lakes,	1.648,	1.608
Bergen,	Garfield,	2.962,	2.351
Bergen,	Glen	Rock,	3.049,	2.692
Bergen,	Hackensack,	3.309,	3.224
Bergen,	Harrington Park,	2.947,	2.607
Bergen,	Hasbrouck	Heights,	2.876,	2.782
Bergen,	Haworth,	2.919,	2.513
Bergen,	Hillsdale,	2.907,	2.633
Bergen,	Hohokus,	2.2,	1.967
Bergen,	Leonia,	3.09,	2.545
Bergen,	Little Ferry,	3.244,	3.113
Bergen,	Lodi,	3.285,	2.432
Bergen,	Lyndhurst,	2.974,	2.551
Bergen,	Mahwah,	1.904,	1.727
Bergen,	Maywood,	3.16,	2.432
Bergen,	Midland	Park,	3.118,	2.587
Bergen,	Montvale,	2.431,	2.082
Bergen,	Moonachie,	2.307,	2.194
Bergen,	New	Milford,	3.605,	2.883
Bergen,	North	Arlington,	2.754,	2.816
Bergen,	Northvale,	3.032,	2.59
Bergen,	Norwood,	2.517,	2.332
Bergen,	Oakland,	2.999,	2.478
Bergen,	Old	Tappan,	2.092,	2.072
Bergen,	Oradell,	2.763,	2.685
Bergen,	Palisades	Park,	1.543,	1.565
Bergen,	Paramus,	1.595,	1.547
Bergen,	Park Ridge,	2.926,	2.496
Bergen,	Ramsey,	2.57,	2.422
Bergen,	Ridgefield,	2.538,	2.001
Bergen,	Ridgefield Park Village,	3.248,	3.136
Bergen,	Ridgewood	Village,	2.637,	2.276
Bergen,	Riveredge,	3.57,	2.71
Bergen,	Rivervale,	2.613,	2.559
Bergen,	Rochelle Park,	2.584,	2.34
Bergen,	Rockleigh,	0.871,	0.862
Bergen,	Rutherford,	2.851,	2.504
Bergen,	Saddle Brook,	2.575,	2.469
Bergen,	Saddle River,	0.959,	0.977
Bergen,	South	Hackensack,	2.684,	2.773
Bergen,	Teaneck,	3.234,	2.655
Bergen,	Tenafly,	2.618,	2.21
Bergen,	Teterboro,	1.097,	1.067
Bergen,	Upper	Saddle River,	2.434,	2.005
Bergen,	Waldwick,	2.767,	2.611
Bergen,	Wallington,	3.085,	2.557
Bergen,	Washington,	2.485,	2.205
Bergen,	Westwood,	2.534,	2.466
Bergen,	Woodcliff	Lake,	2.101,	2.135
Bergen,	Wood Ridge,	2.816,	2.438
Bergen,	Wyckoff,	1.835,	1.83
Burlington,	Bass River,	2.246,	2.196
Burlington,	Beverly,	4.638,	4.426
Burlington,	Bordentown,	3.476,	3.157
Burlington,	Bordentown,	3.298,	2.443
Burlington,	Burlington City,	3.998,	3.664
Burlington,	Burlington Township,	2.906,	2.494
Burlington,	Chesterfield,	2.94,	2.812
Burlington,	Cinnaminson,	3.367,	2.978
Burlington,	Delanco,	3.264,	3.009
Burlington,	Delran,	3.724,	3.22
Burlington,	Eastampton,	3.126,	2.789
Burlington,	Edgewater	Park,	3.182,	3.234
Burlington,	Evesham,	2.793,	2.609
Burlington,	Fieldsboro,	2.884,	2.579
Burlington,	Florence,	2.396,	2.331
Burlington,	Hainesport,	2.48,	2.232
Burlington,	Lumberton,	2.417,	2.363
Burlington,	Mansfield,	3.334,	2.693
Burlington,	Maple	Shade,	3.604,	3.347
Burlington,	Medford,	3.212,	2.874
Burlington,	Medford	Lakes,	3.33,	3.026
Burlington,	Moorestown,	2.607,	2.081
Burlington,	Mount	Holly,	2.965,	2.909
Burlington,	Mount	Laurel,	2.732,	2.472
Burlington,	New	Hanover,	2.497,	1.786
Burlington,	North	Hanover,	2.243,	2.146
Burlington,	Palmyra,	4.005,	3.74
Burlington,	Pemberton	Borough,	2.223,	2.025
Burlington,	Pemberton	Township,	2.457,	2.391
Burlington,	Riverside,	3.698,	3.649
Burlington,	Riverton,	3.653,	3.063
Burlington,	Shamong,	2.806,	2.593
Burlington,	Southampton,	2.932,	2.41
Burlington,	Springfield,	2.983,	2.584
Burlington,	Tabernacle,	3.033,	2.717
Burlington,	Washington,	1.272,	1.18
Burlington,	Westampton,	2.463,	2.334
Burlington,	Willingboro,	4.013,	3.936
Burlington,	Woodland,	2.533,	2.702
Burlington,	Wrightstown,	2.943,	2.596
Camden,	Audubon,	3.606,	3.485
Camden,	Audubon	Park,	6.319,	6.269
Camden,	Barrington,	4.4,	4.183
Camden,	Bellmawr,	3.844,	3.885
Camden,	Berlin,	3.29,	3.306
Camden,	Berlin,	3.681,	3.383
Camden,	Brooklawn,	4.045,	3.871
Camden,	Camden,	3.18,	2.871
Camden,	Cherry Hill	Twnshp,	3.753,	3.354
Camden,	Chesilhurst,	3.477,	3.641
Camden,	Clementon,	4.299,	4.155
Camden,	Collingswood,	3.586,	3.494
Camden,	Gibbsboro,	4.01,	3.508
Camden,	Gloucester City,	4.498,	4.259
Camden,	Gloucester Township,	3.89,	3.736
Camden,	Haddon,	3.792,	3.33
Camden,	Haddonfield,	3.125,	2.959
